[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 507910070)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 507910144)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 541430254)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 541430328)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 574855568)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 574855642)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 608279533)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 608279611)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 641655133)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 641655211)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 675035588)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 675035666)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 708412729)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 708412807)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 741800500)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 741800578)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 775181051)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 775181129)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 808554809)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 808554887)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 841944989)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 841945067)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 875322693)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 875322770)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 908702891)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 908702969)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 942083605)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 942083684)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 975453401)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891411, 975453476)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 8835243)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 8835321)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 42222372)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 42222450)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 75586940)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 75587015)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 108972643)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 108972721)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 142356512)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 142356590)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 175734034)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 175734113)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 209112857)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 209112935)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 242509370)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 242509440)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 275883411)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 275883489)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 309262753)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 309262830)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 342639985)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 342640062)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 376016964)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 376017042)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 409397062)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 409397140)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 442776322)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 442776400)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 476155568)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 476155647)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 509528513)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 509528590)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 542918179)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 542918249)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 576291216)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 576291295)}]]
