[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889225, 940222866)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889225, 940243475)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889225, 973695561)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889225, 973695596)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 7146195)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 7146221)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 40567564)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 40567599)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 73990004)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 73990034)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 107418986)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 107419019)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 140830034)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 140830064)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 174256828)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 174256865)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 207681418)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 207681448)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 241095350)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 241095381)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 274537873)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 274537898)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 307966446)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 307966472)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 341380128)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 341380159)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 374805212)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 374805252)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 408228510)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 408228539)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 441645761)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 441645793)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 475074726)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 475074758)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 508503913)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 508503952)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 541920736)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 541920770)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 575351293)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 575351332)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 608777661)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 608777692)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 642192623)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 642192655)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 675623937)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 675623969)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 709055348)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 709055379)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 742478518)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 742478549)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 775905113)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 775905143)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 809327572)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 809327600)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 842747882)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 842747910)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 876173044)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 876173079)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 909598220)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 909598251)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 943014609)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 943014645)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 976438819)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889226, 976438850)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 9865426)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 9865456)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 43298968)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 43299005)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 76703447)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 76703481)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 110143369)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 110143400)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 143569468)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 143569504)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 176973454)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 176973489)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 210394376)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 210394408)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 243834205)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 243834235)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 277234053)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 277234087)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 310660651)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 310660684)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 344103339)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 344103377)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 377498684)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 377498715)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 410923650)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 410923683)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 444361496)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 444361533)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 477762604)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 477762640)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 511186731)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681889227, 511186764)}]]
