[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 12681062)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 12703827)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 46200114)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 46200180)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 79681235)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 79702511)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 113101805)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 113101894)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 146498394)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 146498456)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 179909706)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 179909773)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 213304260)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 213304313)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 246700831)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 246700873)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 280091781)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 280105476)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 313490979)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 313491027)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 346888029)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 346888075)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 380282832)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 380282888)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 413682276)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 413682330)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 447073323)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 447073370)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 480464814)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 480464866)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896735, 513858089)}]]
