[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895266, 888285952)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895266, 888302191)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895266, 955993931)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895267, 157996997)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895267, 359972733)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895267, 561932977)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895267, 629264790)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895267, 662900406)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895267, 662900487)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895267, 696593579)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895267, 730242362)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895267, 763881981)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895267, 763882070)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895267, 864893081)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895267, 932198343)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895267, 932198418)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895267, 965873048)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895268, 66853656)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895268, 167845385)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895268, 167845459)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895268, 437111139)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895268, 571752316)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895268, 639070786)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895268, 672737568)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895268, 874696421)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895269, 177647854)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895269, 177647935)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895269, 278640617)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895269, 379616257)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895269, 480580762)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895269, 581582230)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895269, 682562325)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895269, 783550245)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895269, 985525750)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895269, 985525830)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895270, 86556242)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895270, 187561482)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895270, 187561562)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895270, 254901964)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895270, 355904660)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681895270, 389569680)}]]
