[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 50158051)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 50158125)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 83590922)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 83591000)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 116972423)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 116972501)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 150363123)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 150363201)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 183721033)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 183721111)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 217086148)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 217086227)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 250455350)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 250455441)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 283824449)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 283824527)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 317201896)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 317201974)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 350565863)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 350565984)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 383942245)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 383942315)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 417308713)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 417308791)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 450673331)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 450673409)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 484050141)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 484050219)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 517420868)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 517420946)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 550780186)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 550780264)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 584160342)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 584160420)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 617524806)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 617524884)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 650891535)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 650891613)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 684266650)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 684266729)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 717631796)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 717631874)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 750999943)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 751000021)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 784372316)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 784372394)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 817731836)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 817731911)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 851099239)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 851099312)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 884479458)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 884479537)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 917825395)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 917825486)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 951215551)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 951215628)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 984591495)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891716, 984591571)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 17960472)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 17960546)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 51322384)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 51322458)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 84702855)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 84702929)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 118066395)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 118066471)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 151414902)}]]
