[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 544445604)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 544468982)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 577972887)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 577972999)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 611451008)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 611451076)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 644869376)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 644869452)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 678275519)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 678275586)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 711685034)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 711685091)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 745084231)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 745084301)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 778476080)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 778476151)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 811869062)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 811869132)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 845265867)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 845265939)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 878658607)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 878658673)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 912049326)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 912049403)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 945445577)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 945445636)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 978839021)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957683, 978839092)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 12230085)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 12230144)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 45622965)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 45623039)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 79029357)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 79029431)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 112421323)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 112421400)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 145802039)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 145802113)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 179193306)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 179193381)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 212591072)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 212591135)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 245990301)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 245990368)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 279385223)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 279385295)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 312779691)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 312779759)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 346175626)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 346175693)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 379568215)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 379568296)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 412961634)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 412961699)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 446355733)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 446355791)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 479749728)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 479749798)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 513153552)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 513153623)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 546546335)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 546546398)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 579940611)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 579940677)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 613332905)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 613332974)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 646728370)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 646728437)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 680120314)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 680120380)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 713513010)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 713513072)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 746908910)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 746908982)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 780316743)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 780316812)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 813711958)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 813712015)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 847108401)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 847108455)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 880497528)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 880497586)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 913894249)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 913894312)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 947284214)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 947284270)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 980675127)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957684, 980675186)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 14069934)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 14069997)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 47466263)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 47466342)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 80856940)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 80857003)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 114249456)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 114249537)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 147643386)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 147643447)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 181036830)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 181036888)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 214428515)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 214428568)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 247822232)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 247822277)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 281218010)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 281218067)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 314610628)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 314610678)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 348001417)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 348001477)}]]
