[[], {}]
[[], [{'protocolIdentifier': 69, 'sourceTransportPort': 8569, 'destinationTransportPort': 81, 'observationTimeMilliseconds': (391, 2384403115)}]]
[[], [{'protocolIdentifier': 69, 'sourceTransportPort': 8569, 'destinationTransportPort': 81, 'observationTimeMilliseconds': (391, 2384403115)}]]
[[], [{'protocolIdentifier': 69, 'sourceTransportPort': 8588, 'destinationTransportPort': 81, 'observationTimeMilliseconds': (391, 2384403115)}]]
[[], [{'protocolIdentifier': 69, 'sourceTransportPort': 8569, 'destinationTransportPort': 81, 'observationTimeMilliseconds': (391, 2384403149)}]]
[[], [{'protocolIdentifier': 69, 'sourceTransportPort': 8569, 'destinationTransportPort': 81, 'observationTimeMilliseconds': (391, 2384403149)}]]
[[], [{'protocolIdentifier': 69, 'sourceTransportPort': 8588, 'destinationTransportPort': 81, 'observationTimeMilliseconds': (391, 2384403149)}]]
[[], [{'protocolIdentifier': 69, 'sourceTransportPort': 8569, 'destinationTransportPort': 81, 'observationTimeMilliseconds': (391, 2384403182)}]]
[[], [{'protocolIdentifier': 69, 'sourceTransportPort': 8569, 'destinationTransportPort': 81, 'observationTimeMilliseconds': (391, 2384403182)}]]
[[], [{'protocolIdentifier': 69, 'sourceTransportPort': 8588, 'destinationTransportPort': 81, 'observationTimeMilliseconds': (391, 2384403182)}]]
[[], [{'protocolIdentifier': 69, 'sourceTransportPort': 8569, 'destinationTransportPort': 81, 'observationTimeMilliseconds': (391, 2384403215)}]]
[[], [{'protocolIdentifier': 69, 'sourceTransportPort': 8569, 'destinationTransportPort': 81, 'observationTimeMilliseconds': (391, 2384403215)}]]
[[], [{'protocolIdentifier': 69, 'sourceTransportPort': 8588, 'destinationTransportPort': 81, 'observationTimeMilliseconds': (391, 2384403215)}]]
[[], [{'protocolIdentifier': 69, 'sourceTransportPort': 8569, 'destinationTransportPort': 81, 'observationTimeMilliseconds': (391, 2384403249)}]]
